UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
AC;8,22;8,14;8,5;8,9;10,63;7,36;7,22;9,9;10,27;9,61
AL;13,34;10,48;10,74;11,22;12,3;13,23;10,46;10,04;10,63;11,08
AM;9,54;9,59;9,63;10,06;10,92;10,15;9,63;9,2;9,0;8,74
AP;12,43;10,37;11,18;10,31;11,22;14,43;13,11;12,71;11,46;10,96
BA;9,46;9,7;9,02;9,29;9,33;8,91;7,84;7,37;7,67;8,85
CE;8,29;8,22;8,55;9,6;10,03;10,87;10,25;12,16;12,33;11,25
DF;2,27;2,79;3,58;3,32;3,46;3,69;3,26;3,21;3,7;3,58
ES;8,77;9,26;9,22;8,71;8,01;7,86;8,38;9,42;8,55;8,88
GO;11,74;11,94;11,78;11,19;12,66;11,07;10,35;9,27;9,91;9,99
MA;8,45;9,11;9,37;9,86;11,81;10,93;9,41;8,76;8,75;7,67
MG;15,83;16,17;15,26;14,51;13,97;14,58;13,06;16,84;18,05;17,36
MS;7,74;10,11;9,16;7,97;8,14;8,21;7,96;8,73;8,92;7,55
MT;9,92;10,81;10,83;11,21;12,3;13,1;12,03;11,03;10,32;10,78
PA;10,22;10,34;10,32;10,66;10,91;9,65;9,27;10,64;10,79;10,92
PB;9,79;11,39;11,84;12,19;12,68;13,04;11,78;11,39;10,78;10,51
PE;7,57;7,69;7,59;7,98;7,78;7,47;6,83;6,46;6,95;7,56
PI;2,91;7,47;7,44;7,07;6,88;6,41;5,93;5,72;5,71;7,36
PR;7,62;7,33;7,65;7,38;6,97;7,8;7,4;8,5;8,55;8,54
RJ;13,15;15,14;12,63;14,26;14,51;14,57;12,75;14,7;15,08;14,69
RN;7,51;8,96;7,96;8,23;8,87;7,91;8,21;7,88;12,1;11,3
RO;15,95;11,81;11,62;11,33;11,29;13,07;12,54;13,22;13,1;12,89
RR;9,64;10,53;10,51;11,54;7,02;10,23;10,17;8,79;9,85;9,29
RS;5,51;5,79;6,02;6,36;6,53;8,39;8,09;9,57;8,4;8,19
SC;8,82;9,04;8,81;8,6;8,27;8,58;7,72;7,59;7,52;7,03
SE;10,44;10,55;9,95;10,16;10,05;9,67;13,7;9,65;9,45;10,98
SP;5,14;5,06;5,03;4,73;4,63;4,6;4,43;4,16;4,75;4,62
TO;8,59;8,71;9,23;10,42;11,99;10,38;9,25;8,05;8,33;8,28
