UF;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
AC;8,78;8,83;9,46;9,95;11,19;7,92;7,65;10,42;10,81;10,07;10,07;
AL;13,66;12,33;12,7;13,61;13,09;14,13;11,0;10,44;11,09;11,51;13,04;
AM;9,86;9,99;10,04;10,51;11,47;11,16;10,08;9,54;9,3;9,01;9,48;10,23
AP;12,65;10,72;11,67;10,73;11,62;15,2;13,61;13,02;11,63;11,27;10,51;
BA;10,21;10,51;10,05;9,96;9,98;9,4;8,32;7,7;8,08;9,25;9,76;
CE;8,7;8,66;9,04;10,22;10,66;11,55;10,85;13,12;13,13;12,11;11,45;
DF;2,27;2,79;3,92;3,61;3,77;4,01;3,56;3,52;4,08;3,92;4,12;
ES;10,25;10,98;11,08;10,4;9,65;9,08;8,53;9,61;8,69;9,02;9,72;
GO;12,43;12,64;12,5;11,98;13,63;11,69;10,88;9,66;10,35;10,44;9,7;
MA;8,45;9,11;9,79;10,54;12,44;11,75;9,88;9,14;9,17;7,99;7,14;
MG;18,35;19,3;18,71;17,77;16,72;16,58;15,32;20,23;19,92;19,33;18,59;
MS;9,08;11,3;10,53;9,32;9,67;9,52;9,06;9,71;9,71;8,23;8,44;
MT;11,19;12,37;11,75;12,21;13,36;14,44;13,21;12,1;11,3;11,73;10,18;
PA;10,66;10,82;10,87;11,27;11,47;10,34;9,71;11,38;11,7;11,84;11,25;
PB;10,32;12,01;12,44;12,77;13,32;13,71;12,35;11,94;11,3;10,99;10,49;
PE;8,45;8,82;8,82;9,28;9,11;8,79;7,69;7,17;7,35;8,0;7,7;
PI;3,15;8,28;8,1;7,73;7,47;7,21;6,67;6,29;6,27;8,09;6,83;
PR;7,62;7,33;7,65;7,68;7,23;8,39;8,03;9,24;9,38;9,11;9,36;
RJ;13,94;16,21;14,16;15,43;16,35;15,7;13,81;15,77;16,24;15,87;15,92;
RN;8,12;9,85;8,88;9,34;10,11;9,02;9,48;9,01;13,68;12,69;9,12;
RO;16,52;12,24;12,11;11,8;11,84;13,62;13,07;14,12;13,98;14,01;14,29;
RR;10,06;10,9;10,79;11,9;7,37;10,73;10,66;9,13;10,25;9,82;11,3;
RS;6,68;7,11;7,52;7,89;8,32;11,42;10,63;12,66;10,9;10,56;12,38;
SC;9,36;9,67;9,43;9,21;8,9;9,13;8,15;7,98;7,93;7,36;7,16;
SE;11,29;11,4;10,85;11,11;10,92;10,6;15,25;10,34;10,05;11,65;11,05;
SP;5,83;5,78;5,73;5,4;5,28;5,37;4,87;4,65;5,01;4,87;4,98;
TO;9,23;9,3;9,82;11,04;12,75;11,66;10,13;9,19;9,15;9,06;8,67;
